SetName,Gene
Module5_TcellBcell_score,HCP5
Module5_TcellBcell_score,PIM2
Module5_TcellBcell_score,SP140
Module5_TcellBcell_score,CCR7
Module5_TcellBcell_score,CTSS
Module5_TcellBcell_score,CYBB
Module5_TcellBcell_score,FCN1
Module5_TcellBcell_score,TFEC
Module5_TcellBcell_score,SEL1L3
Module5_TcellBcell_score,FYB
Module5_TcellBcell_score,GBP1
Module5_TcellBcell_score,LAMP3
Module5_TcellBcell_score,ADAMDEC1
Module5_TcellBcell_score,GPR18
Module5_TcellBcell_score,ICOS
Module5_TcellBcell_score,GPR171
Module5_TcellBcell_score,GZMH
Module5_TcellBcell_score,GZMB
Module5_TcellBcell_score,GZMK
Module5_TcellBcell_score,BIRC3
Module5_TcellBcell_score,IFNG
Module5_TcellBcell_score,IL2RG
Module5_TcellBcell_score,IL15
Module5_TcellBcell_score,IDO1
Module5_TcellBcell_score,CXCL10
Module5_TcellBcell_score,IRF1
Module5_TcellBcell_score,ISG20
Module5_TcellBcell_score,ITK
Module5_TcellBcell_score,LAG3
Module5_TcellBcell_score,LCK
Module5_TcellBcell_score,LYN
Module5_TcellBcell_score,CXCL9
Module5_TcellBcell_score,NKG7
Module5_TcellBcell_score,TRAT1
Module5_TcellBcell_score,MGC29506
Module5_TcellBcell_score,PLAC8
Module5_TcellBcell_score,POU2AF1
Module5_TcellBcell_score,CRTAM
Module5_TcellBcell_score,SLAMF8
Module5_TcellBcell_score,PSMB9
Module5_TcellBcell_score,PTPN7
Module5_TcellBcell_score,SLAMF7
Module5_TcellBcell_score,BCL2A1
Module5_TcellBcell_score,TNFRSF17
Module5_TcellBcell_score,CCL5
Module5_TcellBcell_score,CCL8
Module5_TcellBcell_score,CCL13
Module5_TcellBcell_score,CCL18
Module5_TcellBcell_score,CCL19
Module5_TcellBcell_score,CXCL11
Module5_TcellBcell_score,SELL
Module5_TcellBcell_score,SAMSN1
Module5_TcellBcell_score,RTP4
Module5_TcellBcell_score,CLEC7A
Module5_TcellBcell_score,TAP1
Module5_TcellBcell_score,WARS
Module5_TcellBcell_score,PLA2G7
Module5_TcellBcell_score,ZBED2
Module5_TcellBcell_score,NPL
Module5_TcellBcell_score,RUNX3
Module5_TcellBcell_score,VNN2
Module5_TcellBcell_score,CD3G
Module5_TcellBcell_score,IL32
Module5_TcellBcell_score,CD8B
Module5_TcellBcell_score,CD19
Module5_TcellBcell_score,CD86
Module5_TcellBcell_score,AIM2
Module5_TcellBcell_score,CD38
Module5_TcellBcell_score,CYTIP
Module5_TcellBcell_score,LOC96610
Module5_TcellBcell_score,CD69
Module5_TcellBcell_score,CD79A
Module11_Prolif_score,CDKN3
Module11_Prolif_score,NDC80
Module11_Prolif_score,RNASEH2A
Module11_Prolif_score,CENPA
Module11_Prolif_score,SMC2
Module11_Prolif_score,CENPE
Module11_Prolif_score,RAD51AP1
Module11_Prolif_score,PLK4
Module11_Prolif_score,NMU
Module11_Prolif_score,KIF2C
Module11_Prolif_score,TMSB15A
Module11_Prolif_score,UBE2C
Module11_Prolif_score,CHEK1
Module11_Prolif_score,ZWINT
Module11_Prolif_score,OIP5
Module11_Prolif_score,CRABP1
Module11_Prolif_score,ECT2
Module11_Prolif_score,EIF4EBP1
Module11_Prolif_score,EZH2
Module11_Prolif_score,FEN1
Module11_Prolif_score,HSPA4L
Module11_Prolif_score,TPX2
Module11_Prolif_score,FOXM1
Module11_Prolif_score,NCAPH
Module11_Prolif_score,PRAME
Module11_Prolif_score,PDSS1
Module11_Prolif_score,KIF4A
Module11_Prolif_score,RAD54B
Module11_Prolif_score,ASPM
Module11_Prolif_score,FBXO5
Module11_Prolif_score,ATAD2
Module11_Prolif_score,RACGAP1
Module11_Prolif_score,GPSM2
Module11_Prolif_score,DONSON
Module11_Prolif_score,HMMR
Module11_Prolif_score,BIRC5
Module11_Prolif_score,KIF11
Module11_Prolif_score,LMNB1
Module11_Prolif_score,MAD2L1
Module11_Prolif_score,MCM4
Module11_Prolif_score,MCM5
Module11_Prolif_score,MKI67
Module11_Prolif_score,MMP1
Module11_Prolif_score,MYBL1
Module11_Prolif_score,MYBL2
Module11_Prolif_score,NEK2
Module11_Prolif_score,NUSAP1
Module11_Prolif_score,GTSE1
Module11_Prolif_score,GINS2
Module11_Prolif_score,PLK1
Module11_Prolif_score,FAM64A
Module11_Prolif_score,ERCC6L
Module11_Prolif_score,NCAPG2
Module11_Prolif_score,CEP55
Module11_Prolif_score,FANCI
Module11_Prolif_score,HJURP
Module11_Prolif_score,MCM10
Module11_Prolif_score,DEPDC1
Module11_Prolif_score,C1orf112
Module11_Prolif_score,CENPN
Module11_Prolif_score,PBK
Module11_Prolif_score,KIF15
Module11_Prolif_score,CIAPIN1
Module11_Prolif_score,ACTR3B
Module11_Prolif_score,GPR126
Module11_Prolif_score,SPC25
Module11_Prolif_score,RAD21
Module11_Prolif_score,RFC3
Module11_Prolif_score,RFC4
Module11_Prolif_score,RRM2
Module11_Prolif_score,NCAPG
Module11_Prolif_score,STIL
Module11_Prolif_score,SKP2
Module11_Prolif_score,SOX11
Module11_Prolif_score,SQLE
Module11_Prolif_score,AURKA
Module11_Prolif_score,TAF2
Module11_Prolif_score,TARS
Module11_Prolif_score,BUB1B
Module11_Prolif_score,TK1
Module11_Prolif_score,TMPO
Module11_Prolif_score,TOP2A
Module11_Prolif_score,PHLDA2
Module11_Prolif_score,TTK
Module11_Prolif_score,LRP8
Module11_Prolif_score,DSCC1
Module11_Prolif_score,MLF1IP
Module11_Prolif_score,E2F8
Module11_Prolif_score,SHCBP1
Module11_Prolif_score,SLC7A5
Module11_Prolif_score,ANP32E
Module11_Prolif_score,KIF18A
Module11_Prolif_score,CDC7
Module11_Prolif_score,CDC45
Module11_Prolif_score,RAD54L
Module11_Prolif_score,TTF2
Module11_Prolif_score,PIR
Module11_Prolif_score,ACTL6A
Module11_Prolif_score,GGH
Module11_Prolif_score,CCNA2
Module11_Prolif_score,CCNB1
Module11_Prolif_score,PRC1
Module11_Prolif_score,CCNB2
Module11_Prolif_score,CCNE2
Module11_Prolif_score,EXO1
Module11_Prolif_score,AURKB
Module11_Prolif_score,PTTG1
Module11_Prolif_score,TRIP13
Module11_Prolif_score,KIF23
Module11_Prolif_score,APOBEC3B
Module11_Prolif_score,MTFR1
Module11_Prolif_score,ESPL1
Module11_Prolif_score,DLGAP5
Module11_Prolif_score,CDK1
Module11_Prolif_score,MELK
Module11_Prolif_score,GINS1
Module11_Prolif_score,CDC6
Module11_Prolif_score,CDC20
Module11_Prolif_score,NCAPD2
Module11_Prolif_score,KIF14
TAMsurr_score,CXCL10
TAMsurr_score,CXCL11
TAMsurr_score,CCL8
TAMsurr_score,LAMP3
TcClassII_score,CD2
TcClassII_score,CD3G
TcClassII_score,CD8A
TcClassII_score,IFNG
TcClassII_score,TNF
TcClassII_score,GZMB
TcClassII_score,GZMH
TcClassII_score,PRF1
TcClassII_score,ZAP70
TcClassII_score,HLA-DMA
TcClassII_score,HLA-DOA
TcClassII_score,HLA-DOB
TcClassII_score,HLA-DPA1
TcClassII_score,HLA-DPB1
TcClassII_score,HLA-DQA1
TcClassII_score,HLA-DQB1
TcClassII_score,HLA-DQB2
TcClassII_score,HLA-DRA
TcClassII_score,HLA-DRB1
TcClassII_score,HLA-DRB2
TcClassII_score,HLA-DRB3
TcClassII_score,HLA-DRB4
TcClassII_score,HLA-DRB5
TcClassII_score,HLA-DRB6
TcClassII_score,CIITA
TcClassII_score,CD74
TAMsurr_TcClassII_ratio,CXCL10
TAMsurr_TcClassII_ratio,CXCL11
TAMsurr_TcClassII_ratio,CCL8
TAMsurr_TcClassII_ratio,LAMP3
TAMsurr_TcClassII_ratio,CD2
TAMsurr_TcClassII_ratio,CD3G
TAMsurr_TcClassII_ratio,CD8A
TAMsurr_TcClassII_ratio,IFNG
TAMsurr_TcClassII_ratio,TNF
TAMsurr_TcClassII_ratio,GZMB
TAMsurr_TcClassII_ratio,GZMH
TAMsurr_TcClassII_ratio,PRF1
TAMsurr_TcClassII_ratio,ZAP70
TAMsurr_TcClassII_ratio,HLA-DMA
TAMsurr_TcClassII_ratio,HLA-DOA
TAMsurr_TcClassII_ratio,HLA-DOB
TAMsurr_TcClassII_ratio,HLA-DPA1
TAMsurr_TcClassII_ratio,HLA-DPB1
TAMsurr_TcClassII_ratio,HLA-DQA1
TAMsurr_TcClassII_ratio,HLA-DQB1
TAMsurr_TcClassII_ratio,HLA-DQB2
TAMsurr_TcClassII_ratio,HLA-DRA
TAMsurr_TcClassII_ratio,HLA-DRB1
TAMsurr_TcClassII_ratio,HLA-DRB2
TAMsurr_TcClassII_ratio,HLA-DRB3
TAMsurr_TcClassII_ratio,HLA-DRB4
TAMsurr_TcClassII_ratio,HLA-DRB5
TAMsurr_TcClassII_ratio,HLA-DRB6
TAMsurr_TcClassII_ratio,CIITA
TAMsurr_TcClassII_ratio,CD74
IL12_score_21050467,CD3E
IL12_score_21050467,TRB@
IL12_score_21050467,IL12B
IL12_score_21050467,CD3Z
IL12_score_21050467,STAT4
IL12_score_21050467,IFNG
IL12_score_21050467,JAK2
IL12_score_21050467,IL12RB1
IL12_score_21050467,IL12RB2
IL12_score_21050467,MAPK14
IL12_score_21050467,TRA@
IL12_score_21050467,IL12A
IL12_score_21050467,MAP2K6
IL12_score_21050467,TYK2
IL12_score_21050467,JUN
IL12_score_21050467,IL18
IL12_score_21050467,CXCR3
IL12_score_21050467,CD3G
IL12_score_21050467,ETV5
IL12_score_21050467,CCR5
IL12_score_21050467,CD3D
IL12_score_21050467,MAPK8
IL12_score_21050467,IL18R1
IL4_score_21050467,JAK3
IL4_score_21050467,GRB2
IL4_score_21050467,STAT6
IL4_score_21050467,SHC1
IL4_score_21050467,IL4
IL4_score_21050467,IL4R
IL4_score_21050467,AKT1
IL4_score_21050467,IRS1
IL4_score_21050467,IL2RG
IL4_score_21050467,JAK1
IL4_score_21050467,RPS6KB1
IL2_score_21050467,RAF1
IL2_score_21050467,IL2
IL2_score_21050467,STAT5A
IL2_score_21050467,IL2RB
IL2_score_21050467,SOS1
IL2_score_21050467,GRB2
IL2_score_21050467,STAT5B
IL2_score_21050467,HRAS
IL2_score_21050467,LCK
IL2_score_21050467,JUN
IL2_score_21050467,MAPK3
IL2_score_21050467,IL2RG
IL2_score_21050467,JAK1
IL2_score_21050467,JAK3
IL2_score_21050467,CSNK2A1
IL2_score_21050467,MAP2K1
IL2_score_21050467,FOS
IL2_score_21050467,SHC1
IL2_score_21050467,SYK
IL2_score_21050467,ELK1
IL2_score_21050467,IL2RA
IL2_score_21050467,MAPK8
IL13_score_21050467,IL13
IL13_score_21050467,IL13RA2
IL13_score_21050467,JAK2
IL13_score_21050467,IL13RA1
IL13_score_21050467,TYK2
IL13_score_21050467,IL4R
IL13_score_21050467,JAK1
IFNG_score_21050467,MAP3K10
IFNG_score_21050467,CSRP3
IFNG_score_21050467,FOSL1
IFNG_score_21050467,SKP1A
IFNG_score_21050467,HLA-B
IFNG_score_21050467,SF3A1
IFNG_score_21050467,XRCC6
IFNG_score_21050467,CEBPD
IFNG_score_21050467,HLA-A
IFNG_score_21050467,NMI
IFNG_score_21050467,IFI35
IFNG_score_21050467,HIF3A
IFNG_score_21050467,TAS2R5
IFNG_score_21050467,C1S
IFNG_score_21050467,SHFM1
IFNG_score_21050467,COL16A1
IFNG_score_21050467,PSME1
IFNG_score_21050467,IFITM1
IFNG_score_21050467,CYCS
IFNG_score_21050467,BAK1
IFNG_score_21050467,EPS15
IFNG_score_21050467,GBP1
IFNG_score_21050467,FAS
IFNG_score_21050467,PML
IFNG_score_21050467,HADH
IFNG_score_21050467,EIF2B1
IFNG_score_21050467,HLA-E
IFNG_score_21050467,HADHB
IFNG_score_21050467,IRF1
IFNG_score_21050467,ADAR
IFNG_score_21050467,IFIT3
IFNG_score_21050467,SDCBP
IFNG_score_21050467,ATP6V0B
IFNG_score_21050467,ZFP36L2
IFNG_score_21050467,TRIM21
IFNG_score_21050467,PRAME
IFNG_score_21050467,ELK4
IFNG_score_21050467,BBC3
IFNG_score_21050467,PSMB10
IFNG_score_21050467,CASP8
IFNG_score_21050467,PHLDA1
IFNG_score_21050467,PPP3CA
IFNG_score_21050467,BTG1
IFNG_score_21050467,RBBP4
IFNG_score_21050467,PMAIP1
IFNG_score_21050467,TEAD4
IFNG_score_21050467,SRP9
IFNG_score_21050467,ISG15
IFNG_score_21050467,BST2
IFNG_score_21050467,PYHIN1
IFNG_score_21050467,IL15RA
IFNG_score_21050467,VEGFC
IFNG_score_21050467,RHOC
IFNG_score_21050467,PLOD2
IFNG_score_21050467,NULL
IFNG_score_21050467,STAT1
IFNG_score_21050467,PSMB8
IFNG_score_21050467,SFRS2
IFNG_score_21050467,VAT1
IFNG_score_21050467,PARP1
IFNG_score_21050467,ICAM1
IFNG_score_21050467,TAP1
IFNG_score_21050467,IL6
IFNG_score_21050467,BAG1
TGFB_score_21050467,MMP3
TGFB_score_21050467,MARCKSL1
TGFB_score_21050467,IGF2R
TGFB_score_21050467,LAMB1
TGFB_score_21050467,SPARC
TGFB_score_21050467,FN1
TGFB_score_21050467,ITGA4
TGFB_score_21050467,SMO
TGFB_score_21050467,MMP19
TGFB_score_21050467,ITGB8
TGFB_score_21050467,ITGA5
TGFB_score_21050467,NID1
TGFB_score_21050467,TIMP1
TGFB_score_21050467,SEMA3F
TGFB_score_21050467,RHOQ
TGFB_score_21050467,CTNNB1
TGFB_score_21050467,MMP2
TGFB_score_21050467,SERPINE1
TGFB_score_21050467,EPHB2
TGFB_score_21050467,COL16A1
TGFB_score_21050467,EPHA2
TGFB_score_21050467,TNC
TGFB_score_21050467,JUP
TGFB_score_21050467,ITGA3
TGFB_score_21050467,TCF7L2
TGFB_score_21050467,COL3A1
TGFB_score_21050467,CDH6
TGFB_score_21050467,WNT2B
TGFB_score_21050467,ADAM9
TGFB_score_21050467,DSP
TGFB_score_21050467,HSPG2
TGFB_score_21050467,ARHGAP1
TGFB_score_21050467,ITGB5
TGFB_score_21050467,IGFBP5
TGFB_score_21050467,ARHGDIA
TGFB_score_21050467,LRP1
TGFB_score_21050467,IGFBP2
TGFB_score_21050467,CTNNA1
TGFB_score_21050467,LRRC17
TGFB_score_21050467,MMP14
TGFB_score_21050467,NEO1
TGFB_score_21050467,EFNA5
TGFB_score_21050467,ITGB3
TGFB_score_21050467,EPHB3
TGFB_score_21050467,CD44
TGFB_score_21050467,IGFBP4
TGFB_score_21050467,TNFRSF1A
TGFB_score_21050467,RAC1
TGFB_score_21050467,PXN
TGFB_score_21050467,PLAT
TGFB_score_21050467,COL8A1
TGFB_score_21050467,WNT8B
TGFB_score_21050467,IGFBP3
TGFB_score_21050467,RHOA
TGFB_score_21050467,EPHB4
TGFB_score_21050467,MMP1
TGFB_score_21050467,PAK1
TGFB_score_21050467,MTA1
TGFB_score_21050467,THBS2
TGFB_score_21050467,CSPG2
TGFB_score_21050467,MMP17
TGFB_score_21050467,CD59
TGFB_score_21050467,DVL3
TGFB_score_21050467,RHOB
TGFB_score_21050467,COL6A3
TGFB_score_21050467,NOTCH2
TGFB_score_21050467,BSG
TGFB_score_21050467,MMP11
TGFB_score_21050467,COL1A2
TGFB_score_21050467,ZYX
TGFB_score_21050467,RND3
TGFB_score_21050467,THBS1
TGFB_score_21050467,RHOG
TGFB_score_21050467,ICAM1
TGFB_score_21050467,LAMA4
TGFB_score_21050467,DVL1
TGFB_score_21050467,PAK2
TGFB_score_21050467,ITGB2
TGFB_score_21050467,COL6A1
TGFB_score_21050467,FGD1
TREM1_data,TREM1
DAP12_data,TYROBP
Immune_NSCLC_score,C3orf41
Immune_NSCLC_score,C1orf24
Immune_NSCLC_score,PLEK
Immune_NSCLC_score,RHOH
